Longitude,Latitude,LoS,distance,num_paths,DoD_phi,DoD_theta,DoA_phi,DoA_theta,phase,ToA,y
242.4230042,376.9710083,1,46.9612999,1,-164.4640045,94.88619995,15.53629971,85.11380005,178.5279999,1.57E-07,92.26550293
242.6230011,376.9710083,1,46.76929855,1,-164.397995,94.90630341,15.60210037,85.09369659,154.8829956,1.56E-07,91.34410095
242.822998,376.9710083,1,46.57740021,1,-164.3309937,94.92649841,15.66849995,85.07350159,128.9620056,1.55E-07,94.37339783
243.022995,376.9710083,1,46.38560104,1,-164.2640076,94.9469986,15.73550034,85.0530014,100.7369995,1.55E-07,100.848999
243.2230072,376.9710083,1,46.19380188,1,-164.1970062,94.96759796,15.80300045,85.03240204,70.17839813,1.54E-07,98.11039734
243.4230042,376.9710083,1,46.00220108,1,-164.1289978,94.98829651,15.87110043,85.01170349,37.25780106,1.53E-07,92.81710052
243.6230011,376.9710083,1,45.8105011,1,-164.0599976,95.00920105,15.93980026,84.99079895,1.945379972,1.53E-07,92.18489838
243.822998,376.9710083,1,45.61899948,1,-163.9909973,95.03029633,16.00909996,84.96970367,-35.78910065,1.52E-07,91.48349762
244.022995,376.9710083,1,45.42750168,1,-163.9210052,95.0515976,16.07889938,84.9484024,-75.97609711,1.52E-07,90.96829987
244.2230072,376.9710083,1,45.23609924,1,-163.8509979,95.07299805,16.14929962,84.92700195,-118.6470032,1.51E-07,96.35050201
244.4230042,376.9710083,1,45.0447998,1,-163.7799988,95.09459686,16.22039986,84.90540314,-163.8329926,1.50E-07,103.1679993
244.6230011,376.9710083,1,44.85359955,1,-163.7079926,95.11640167,16.29199982,84.88359833,148.4329987,1.50E-07,96.94190216
244.822998,376.9710083,1,44.66239929,1,-163.6360016,95.13829803,16.36429977,84.86170197,98.11849976,1.49E-07,91.59909821
245.022995,376.9710083,1,44.47129822,1,-163.5630035,95.16049957,16.43720055,84.83950043,45.19060135,1.48E-07,91.32150269
245.2230072,376.9710083,1,44.28030014,1,-163.4889984,95.18280029,16.51070023,84.81719971,-10.38479996,1.48E-07,91.30339813
245.4230042,376.9710083,1,44.08940125,1,-163.4149933,95.20529938,16.5848999,84.79470062,-68.64209747,1.47E-07,93.9108963
245.6230011,376.9710083,1,43.89849854,1,-163.3399963,95.22799683,16.65970039,84.77200317,-129.6159973,1.46E-07,102.5849991
245.822998,376.9710083,1,43.70780182,1,-163.2649994,95.25090027,16.73520088,84.74909973,166.6569977,1.46E-07,99.7621994
246.022995,376.9710083,1,43.51710129,1,-163.1889954,95.27400208,16.81130028,84.72599792,100.1419983,1.45E-07,91.23950195
246.2230072,376.9710083,1,43.32649994,1,-163.1119995,95.29720306,16.88820076,84.70279694,30.80109978,1.45E-07,90.86669922
246.4230042,376.9710083,1,43.13600159,1,-163.0339966,95.3207016,16.96570015,84.6792984,-41.40259933,1.44E-07,92.71769714
246.6230011,376.9710083,1,42.94549942,1,-162.9559937,95.34429932,17.04389954,84.65570068,-116.5070038,1.43E-07,92.68139648
246.822998,376.9710083,1,42.75519943,1,-162.8769989,95.36820221,17.12280083,84.63179779,165.447998,1.43E-07,98.2928009
247.022995,376.9710083,1,42.56499863,1,-162.7980042,95.39230347,17.20240021,84.60769653,84.42449951,1.42E-07,96.48169708
247.2230072,376.9710083,1,42.37480164,1,-162.7169952,95.41649628,17.28269958,84.58350372,0.381368011,1.41E-07,91.21790314
247.4230042,376.9710083,1,42.18470001,1,-162.6360016,95.44100189,17.36380005,84.55899811,-86.72190094,1.41E-07,92.24960327
247.6230011,376.9710083,1,41.99470139,1,-162.5540009,95.46569824,17.44560051,84.53430176,-176.927002,1.40E-07,91.04560089
247.822998,376.9710083,1,41.80490112,1,-162.4720001,95.49060059,17.52809906,84.50939941,89.72389984,1.39E-07,93.4885025
248.022995,376.9710083,1,41.61510086,1,-162.3890076,95.51570129,17.61149979,84.48429871,-6.812250137,1.39E-07,100.362999
248.2230072,376.9710083,1,41.42539978,1,-162.3040009,95.54109955,17.69560051,84.45890045,-106.5790024,1.38E-07,94.54029846
248.4230042,376.9710083,1,41.2358017,1,-162.2200012,95.56659698,17.78039932,84.43340302,150.378006,1.38E-07,89.63179779
248.6230011,376.9710083,1,41.04629898,1,-162.1340027,95.5923996,17.86610031,84.4076004,44.01480103,1.37E-07,90.54640198
248.822998,376.9710083,1,40.85689926,1,-162.0469971,95.61840057,17.95249939,84.38159943,-65.71559906,1.36E-07,91.77880096
249.022995,376.9710083,1,40.66759872,1,-161.9600067,95.6446991,18.03980064,84.3553009,-178.8600006,1.36E-07,101.5579987
249.2230072,376.9710083,1,40.47840118,1,-161.871994,95.6710968,18.12789917,84.3289032,64.53330231,1.35E-07,96.04560089
249.4230042,376.9710083,1,40.28929901,1,-161.7830048,95.69779968,18.21689987,84.30220032,-55.58399963,1.34E-07,90.08789825
249.6230011,376.9710083,1,40.10029984,1,-161.6929932,95.72480011,18.30660057,84.27519989,-179.2619934,1.34E-07,92.82649994
249.822998,376.9710083,1,39.91139984,1,-161.6029968,95.75189972,18.39730072,84.24810028,53.44940186,1.33E-07,90.45819855
250.022995,376.9710083,1,39.72269821,1,-161.5110016,95.77940369,18.48880005,84.22059631,-77.50189972,1.33E-07,98.1964035
250.2230072,376.9710083,1,39.5340004,1,-161.4190063,95.80709839,18.58119965,84.19290161,147.8320007,1.32E-07,97.68470001
250.4230042,376.9710083,1,39.34550095,1,-161.326004,95.83499908,18.67449951,84.16500092,9.397080421,1.31E-07,91.65940094
250.6230011,376.9710083,1,39.1570015,1,-161.2310028,95.86319733,18.76869965,84.13680267,-132.8609924,1.31E-07,90.38549805
250.822998,376.9710083,1,38.96870041,1,-161.1360016,95.89160156,18.86380005,84.10839844,81.00350189,1.30E-07,91.09980011
251.022995,376.9710083,1,38.7804985,1,-161.0399933,95.92030334,18.95980072,84.07969666,-69.06719971,1.29E-07,101.1520004
251.2230072,376.9710083,1,38.5923996,1,-160.9429932,95.94920349,19.05680084,84.05079651,136.8699951,1.29E-07,93.72460175
251.4230042,376.9710083,1,38.40449905,1,-160.8450012,95.97850037,19.15480042,84.02149963,-21.2446003,1.28E-07,91.95420074
251.6230011,376.9710083,1,38.21659851,1,-160.7460022,96.00800323,19.25370026,83.99199677,176.5299988,1.28E-07,89.6638031
251.822998,376.9710083,1,38.02890015,1,-160.6459961,96.03769684,19.35359955,83.96230316,10.13370037,1.27E-07,92.78659821
252.022995,376.9710083,1,37.84130096,1,-160.5449982,96.06780243,19.4545002,83.93219757,-160.496994,1.26E-07,95.32219696
252.2230072,376.9710083,1,37.65390015,1,-160.4440002,96.09809875,19.55649948,83.90190125,24.57550049,1.26E-07,94.22090149
252.4230042,376.9710083,1,37.46649933,1,-160.3410034,96.12870026,19.65940094,83.87129974,-154.7140045,1.25E-07,89.16519928
252.6230011,376.9710083,1,37.27930069,1,-160.2369995,96.1595993,19.76350021,83.8404007,21.56970024,1.24E-07,90.77130127
252.822998,376.9710083,1,37.09230042,1,-160.1309967,96.19080353,19.86849976,83.80919647,-166.6410065,1.24E-07,93.02919769
253.022995,376.9710083,1,36.90530014,1,-160.0249939,96.22219849,19.97470093,83.77780151,0.585009992,1.23E-07,94.80190277
253.2230072,376.9710083,1,36.71860123,1,-159.9179993,96.2539978,20.08189964,83.7460022,163.1790009,1.23E-07,91.50749969
253.4230042,376.9710083,1,36.5318985,1,-159.8099976,96.28610229,20.19029999,83.71389771,-38.93059921,1.22E-07,90.31009674
253.6230011,376.9710083,1,36.34540176,1,-159.6999969,96.3184967,20.29980087,83.6815033,114.1839981,1.21E-07,90.46389771
253.822998,376.9710083,1,36.1590004,1,-159.5899963,96.35119629,20.41040039,83.64880371,-97.55139923,1.21E-07,102.1230011
254.022995,376.9710083,1,35.97280121,1,-159.4779968,96.38420105,20.52219963,83.61579895,45.7881012,1.20E-07,90.26499939
254.2230072,376.9710083,1,35.7867012,1,-159.3650055,96.41750336,20.63509941,83.58249664,-175.875,1.19E-07,91.12190247
