Longitude,Latitude,LoS,distance,num_paths,DoD_phi,DoD_theta,DoA_phi,DoA_theta,phase,ToA,y
242.4230042,469.9710083,1,21.10460091,1,-70.49440002,100.9250031,109.5059967,79.07450104,85.7256012,7.04E-08,86.53700256
242.6230011,469.9710083,1,21.17099953,1,-69.97480011,100.8909988,110.0250015,79.10919952,11.99349976,7.06E-08,89.25180054
242.822998,469.9710083,1,21.2390995,1,-69.45860291,100.8550034,110.5410004,79.14450073,-118.0999985,7.09E-08,87.21130371
243.022995,469.9710083,1,21.30879974,1,-68.94599915,100.8199997,111.0540009,79.18049622,55.98529816,7.11E-08,91.32430267
243.2230072,469.9710083,1,21.38019943,1,-68.4367981,100.7829971,111.5630035,79.21710205,174.7960052,7.13E-08,86.61949921
243.4230042,469.9710083,1,21.45319939,1,-67.93109894,100.7460022,112.0690002,79.2542038,-121.1169968,7.16E-08,90.08350372
243.6230011,469.9710083,1,21.5279007,1,-67.42910004,100.7080002,112.5709991,79.29190063,-111.1949997,7.18E-08,84.59529877
243.822998,469.9710083,1,21.60409927,1,-66.93070221,100.6699982,113.0690002,79.33010101,-154.8789978,7.21E-08,87.01429749
244.022995,469.9710083,1,21.68190002,1,-66.43589783,100.6309967,113.564003,79.3687973,108.3980026,7.23E-08,90.95510101
244.2230072,469.9710083,1,21.76119995,1,-65.94490051,100.5920029,114.0550003,79.40809631,-40.79579926,7.26E-08,89.8164978
244.4230042,469.9710083,1,21.84219933,1,-65.45760345,100.552002,114.5419998,79.4477005,118.1119995,7.29E-08,87.27310181
244.6230011,469.9710083,1,21.9246006,1,-64.97399902,100.512001,115.026001,79.48789978,-134.3049927,7.32E-08,90.00360107
244.822998,469.9710083,1,22.00849915,1,-64.49420166,100.4720001,115.5059967,79.52839661,-77.46880341,7.34E-08,90.96880341
245.022995,469.9710083,1,22.09390068,1,-64.01820374,100.4309998,115.9820023,79.56939697,-70.80200195,7.37E-08,88.32759857
245.2230072,469.9710083,1,22.18079948,1,-63.54610062,100.3889999,116.4540024,79.61070251,-113.7249985,7.40E-08,94.01799774
245.4230042,469.9710083,1,22.26919937,1,-63.07780075,100.3479996,116.9219971,79.65239716,154.3439941,7.43E-08,86.82710266
245.6230011,469.9710083,1,22.35899925,1,-62.61330032,100.3059998,117.387001,79.69439697,13.9843998,7.46E-08,87.26989746
245.822998,469.9710083,1,22.45019913,1,-62.15269852,100.2630005,117.8470001,79.73670197,-174.2220001,7.49E-08,88.47119904
246.022995,469.9710083,1,22.54290009,1,-61.69599915,100.2210007,118.3040009,79.77929688,-49.6935997,7.52E-08,88.75389862
246.2230072,469.9710083,1,22.63689995,1,-61.24319839,100.1780014,118.7570038,79.82219696,28.1487999,7.55E-08,86.93920135
246.4230042,469.9710083,1,22.7322998,1,-60.7942009,100.1350021,119.2060013,79.86540222,59.88479996,7.59E-08,87.88860321
246.6230011,469.9710083,1,22.82900047,1,-60.3492012,100.0910034,119.651001,79.90879822,46.09230042,7.62E-08,86.01110077
246.822998,469.9710083,1,22.92709923,1,-59.90810013,100.0479965,120.0920029,79.95240021,-12.65229988,7.65E-08,93.94740295
247.022995,469.9710083,1,23.0265007,1,-59.47079849,100.0039978,120.5289993,79.99620056,-115.7750015,7.68E-08,86.76550293
247.2230072,469.9710083,1,23.12719917,1,-59.03749847,99.95980072,120.961998,80.04019928,97.29759979,7.72E-08,88.8361969
247.4230042,469.9710083,1,23.22920036,1,-58.60810089,99.91560364,121.3919983,80.08439636,-92.86620331,7.75E-08,85.83609772
247.6230011,469.9710083,1,23.33239937,1,-58.18249893,99.87129974,121.8170013,80.12870026,34.30120087,7.79E-08,83.2390976
247.822998,469.9710083,1,23.43689919,1,-57.76089859,99.82679749,122.2389984,80.17320251,119.3639984,7.82E-08,84.79460144
248.022995,469.9710083,1,23.54269981,1,-57.3431015,99.78230286,122.6569977,80.21769714,162.8820038,7.86E-08,85.60710144
248.2230072,469.9710083,1,23.64959908,1,-56.92919922,99.73760223,123.0709991,80.26239777,165.4129944,7.89E-08,85.31349945
248.4230042,469.9710083,1,23.75779915,1,-56.51910019,99.69280243,123.4810028,80.30719757,127.5110016,7.93E-08,86.57369995
248.6230011,469.9710083,1,23.86709976,1,-56.11289978,99.64800262,123.887001,80.35199738,49.72460175,7.96E-08,88.85040283
248.822998,469.9710083,1,23.9776001,1,-55.71060181,99.60310364,124.2890015,80.39689636,-67.39949799,8.00E-08,88.31529999
249.022995,469.9710083,1,24.08930016,1,-55.31200027,99.55819702,124.6880035,80.44180298,136.6799927,8.04E-08,88.46749878
249.2230072,469.9710083,1,24.20210075,1,-54.91730118,99.51319885,125.0830002,80.48680115,-57.50059891,8.08E-08,89.90599823
249.4230042,469.9710083,1,24.31609917,1,-54.52629852,99.46820068,125.473999,80.53179932,70.59190369,8.11E-08,88.49690247
249.6230011,469.9710083,1,24.43110085,1,-54.13909912,99.42320251,125.8610001,80.57679749,161.4850006,8.15E-08,89.89620209
249.822998,469.9710083,1,24.54719925,1,-53.75559998,99.37819672,126.2440033,80.62180328,-144.2980042,8.19E-08,86.19300079
250.022995,469.9710083,1,24.6644001,1,-53.37590027,99.33329773,126.6240005,80.66670227,-126.2399979,8.23E-08,90.99539948
250.2230072,469.9710083,1,24.78269958,1,-52.99990082,99.28829956,127,80.71170044,-143.8269958,8.27E-08,88.57759857
250.4230042,469.9710083,1,24.90200043,1,-52.62749863,99.24349976,127.3720016,80.75650024,163.4490051,8.31E-08,86.2901001
250.6230011,469.9710083,0,25.02230072,1,-78.9720993,92.89720154,-101.0279999,87.10279846,-131.9550018,2.64E-07,102.5319977
250.822998,469.9710083,0,25.14369965,1,-78.82980347,92.89579773,-101.1699982,87.10420227,14.74489975,2.64E-07,103.7770004
251.022995,469.9710083,0,25.26600075,1,-78.68769836,92.89430237,-101.3119965,87.10569763,145.0890045,2.64E-07,101.4970016
251.2230072,469.9710083,0,25.38929939,1,-78.54579926,92.89289856,-101.4540024,87.10710144,-100.8990021,2.64E-07,105.0169983
251.4230042,469.9710083,0,25.51370049,1,-78.40399933,92.8914032,-101.5960007,87.1085968,-3.193160057,2.65E-07,107.9199982
251.6230011,469.9710083,0,25.63890076,1,-78.26229858,92.88999939,-101.737999,87.11000061,78.22969818,2.65E-07,114.7669983
251.822998,469.9710083,0,25.76510048,1,-78.1207962,92.8884964,-101.8789978,87.1115036,143.3950043,2.65E-07,105.7949982
252.022995,469.9710083,0,25.89229965,1,-77.97940063,92.88700104,-102.0210037,87.11299896,-167.6719971,2.65E-07,100.0680008
252.2230072,469.9710083,0,26.02029991,1,-77.83820343,92.88539886,-102.1620026,87.11460114,-134.9470062,2.65E-07,99.78230286
252.4230042,469.9710083,0,26.14929962,1,-77.69709778,92.8839035,-102.3030014,87.1160965,-118.4029999,2.65E-07,98.96330261
252.6230011,469.9710083,0,26.27910042,1,-77.55619812,92.88240051,-102.4440002,87.11759949,-118.0149994,2.65E-07,97.32240295
252.822998,469.9710083,0,26.40979958,1,-77.41539764,92.88079834,-102.5849991,87.11920166,-133.7559967,2.66E-07,101.2180023
253.022995,469.9710083,0,26.54140091,1,-77.27480316,92.8792038,-102.7249985,87.1207962,-165.6009979,2.66E-07,108.0879974
253.2230072,469.9710083,0,26.6739006,1,-77.13430023,92.87760162,-102.8659973,87.12239838,146.477005,2.66E-07,94.41590118
253.4230042,469.9710083,0,26.8071003,1,-76.9940033,92.87599945,-103.0059967,87.12400055,82.50479889,2.66E-07,100.0270004
253.6230011,469.9710083,0,26.94120026,1,-76.85379791,92.87439728,-103.1460037,87.12560272,2.509670019,2.66E-07,110.0879974
253.822998,469.9710083,0,27.07620049,1,-76.71379852,92.87270355,-103.2860031,87.12729645,-93.48139954,2.66E-07,94.47499847
254.022995,469.9710083,0,27.21190071,1,-76.5739975,92.87110138,-103.4260025,87.12889862,154.5590057,2.66E-07,100.0599976
254.2230072,469.9710083,0,27.34840012,1,-76.43440247,92.86940002,-103.5660019,87.13059998,26.65880013,2.67E-07,104.3339996
254.4230042,469.9710083,0,27.48570061,1,-76.29489899,92.86769867,-103.7050018,87.13230133,-117.1539993,2.67E-07,99.81140137
254.6230011,469.9710083,0,27.62369919,1,-76.15550232,92.86599731,-103.8440018,87.13400269,83.14749908,2.67E-07,99.76589966
254.822998,469.9710083,0,27.76250076,1,-76.0164032,92.86430359,-103.9840012,87.13569641,-92.40699768,2.67E-07,99.62799835
255.022995,469.9710083,0,27.90200043,1,-75.87740326,92.86250305,-104.1230011,87.13749695,76.21050262,2.67E-07,105.1679993
255.2230072,469.9710083,0,28.04229927,1,-75.7385025,92.8608017,-104.2610016,87.1391983,-130.970993,2.67E-07,97.04100037
255.4230042,469.9710083,0,28.18330002,1,-75.59989929,92.85900116,-104.4000015,87.14099884,6.076610088,2.68E-07,96.42269897
255.6230011,469.9710083,0,28.32500076,1,-75.46140289,92.85720062,-104.5390015,87.14279938,127.3830032,2.68E-07,108.5130005
255.822998,469.9710083,0,28.4673996,1,-75.32309723,92.85540009,-104.677002,87.14459991,-127.0220032,2.68E-07,99.78739929
256.0230103,469.9710083,0,28.61050034,1,-75.18489838,92.85359955,-104.8150024,87.14640045,-37.10889816,2.68E-07,99.83989716
