Longitude,Latitude,LoS,distance,num_paths,DoD_phi,DoD_theta,DoA_phi,DoA_theta,phase,ToA,y
242.4230042,376.9710083,1,46.9612999,1,-164.4640045,94.88619995,15.53629971,85.11380005,-157.6799927,1.57E-07,71.65540314
242.6230011,376.9710083,1,46.76929855,1,-164.397995,94.90630341,15.60210037,85.09369659,-70.6359024,1.56E-07,72.74410248
242.822998,376.9710083,1,46.57740021,1,-164.3309937,94.92649841,15.66849995,85.07350159,16.12400055,1.55E-07,71.65550232
243.022995,376.9710083,1,46.38560104,1,-164.2640076,94.9469986,15.73550034,85.0530014,102.5960007,1.55E-07,72.97460175
243.2230072,376.9710083,1,46.19380188,1,-164.1970062,94.96759796,15.80300045,85.03240204,-171.223999,1.54E-07,71.87599945
243.4230042,376.9710083,1,46.00220108,1,-164.1289978,94.98829651,15.87110043,85.01170349,-85.3391037,1.53E-07,73.20220184
243.6230011,376.9710083,1,45.8105011,1,-164.0599976,95.00920105,15.93980026,84.99079895,0.246812999,1.53E-07,72.23629761
243.822998,376.9710083,1,45.61899948,1,-163.9909973,95.03029633,16.00909996,84.96970367,85.52999878,1.52E-07,73.48439789
244.022995,376.9710083,1,45.42750168,1,-163.9210052,95.0515976,16.07889938,84.9484024,170.5070038,1.52E-07,72.8214035
244.2230072,376.9710083,1,45.23609924,1,-163.8509979,95.07299805,16.14929962,84.92700195,-104.8270035,1.51E-07,73.97979736
244.4230042,376.9710083,1,45.0447998,1,-163.7799988,95.09459686,16.22039986,84.90540314,-20.47559929,1.50E-07,73.70310211
244.6230011,376.9710083,1,44.85359955,1,-163.7079926,95.11640167,16.29199982,84.88359833,63.55770111,1.50E-07,74.69100189
244.822998,376.9710083,1,44.66239929,1,-163.6360016,95.13829803,16.36429977,84.86170197,147.2680054,1.49E-07,74.66889954
245.022995,376.9710083,1,44.47129822,1,-163.5630035,95.16049957,16.43720055,84.83950043,-129.3480072,1.48E-07,75.27130127
245.2230072,376.9710083,1,44.28030014,1,-163.4889984,95.18280029,16.51070023,84.81719971,-46.29460144,1.48E-07,75.27069855
245.4230042,376.9710083,1,44.08940125,1,-163.4149933,95.20529938,16.5848999,84.79470062,36.4231987,1.47E-07,75.35939789
245.6230011,376.9710083,1,43.89849854,1,-163.3399963,95.22799683,16.65970039,84.77200317,118.8010025,1.46E-07,75.49169922
245.822998,376.9710083,1,43.70780182,1,-163.2649994,95.25090027,16.73520088,84.74909973,-159.1640015,1.46E-07,75.22440338
246.022995,376.9710083,1,43.51710129,1,-163.1889954,95.27400208,16.81130028,84.72599792,-77.47879791,1.45E-07,75.87560272
246.2230072,376.9710083,1,43.32649994,1,-163.1119995,95.29720306,16.88820076,84.70279694,3.853579998,1.45E-07,75.39749908
246.4230042,376.9710083,1,43.13600159,1,-163.0339966,95.3207016,16.96570015,84.6792984,84.82810211,1.44E-07,76.78469849
246.6230011,376.9710083,1,42.94549942,1,-162.9559937,95.34429932,17.04389954,84.65570068,165.4400024,1.43E-07,75.9992981
