Longitude,Latitude,LoS,distance,num_paths,DoD_phi,DoD_theta,DoA_phi,DoA_theta,phase,ToA,y
242.4230042,469.9710083,1,21.10460091,1,-70.49440002,100.9250031,109.5059967,79.07450104,-169.2830048,7.04E-08,65.34059906
242.6230011,469.9710083,1,21.17099953,1,-69.97480011,100.8909988,110.0250015,79.10919952,-88.49909973,7.06E-08,68.26560211
242.822998,469.9710083,1,21.2390995,1,-69.45860291,100.8550034,110.5410004,79.14450073,-14.76080036,7.09E-08,74.30020142
243.022995,469.9710083,1,21.30879974,1,-68.94599915,100.8199997,111.0540009,79.18049622,51.99990082,7.11E-08,67.22190094
243.2230072,469.9710083,1,21.38019943,1,-68.4367981,100.7829971,111.5630035,79.21710205,111.8509979,7.13E-08,65.0983963
243.4230042,469.9710083,1,21.45319939,1,-67.93109894,100.7460022,112.0690002,79.2542038,164.8619995,7.16E-08,71.48519897
243.6230011,469.9710083,1,21.5279007,1,-67.42910004,100.7080002,112.5709991,79.29190063,-148.897995,7.18E-08,68.13079834
243.822998,469.9710083,1,21.60409927,1,-66.93070221,100.6699982,113.0690002,79.33010101,-109.3580017,7.21E-08,65.32499695
244.022995,469.9710083,1,21.68190002,1,-66.43589783,100.6309967,113.564003,79.3687973,-76.44850159,7.23E-08,72.21260071
244.2230072,469.9710083,1,21.76119995,1,-65.94490051,100.5920029,114.0550003,79.40809631,-50.09769821,7.26E-08,68.3010025
244.4230042,469.9710083,1,21.84219933,1,-65.45760345,100.552002,114.5419998,79.4477005,-30.23430061,7.29E-08,64.59500122
244.6230011,469.9710083,1,21.9246006,1,-64.97399902,100.512001,115.026001,79.48789978,-16.78639984,7.32E-08,75.49189758
244.822998,469.9710083,1,22.00849915,1,-64.49420166,100.4720001,115.5059967,79.52839661,-9.68185997,7.34E-08,65.32150269
245.022995,469.9710083,1,22.09390068,1,-64.01820374,100.4309998,115.9820023,79.56939697,-8.848500252,7.37E-08,68.12339783
