Lon,Lat,GPS Head,PCI,Band,RSRP_mean,RSRQ_mean,RSSI_mean,SINR_mean,Pathloss_mean,BLER_mean,CQI_mean,run
-93.261787,44.975479,210,224,Band 66,-79.0825,-12.094999999999999,-45.6125,5.6274999999999995,106.72999999999999,28.2175,12.25,"['5', '5', '5', '5']"
-93.26178,44.975479,210,224,Band 66,-78.7,-10.536666666666667,-46.653333333333336,11.74,106.10166666666667,2.0199999999999996,12.0,"['5', '5', '5']"
-93.261772,44.97543,210,224,Band 66,-80.995,-16.895,-44.105000000000004,2.6100000000000003,101.005,0.0,10.0,"['5', '5']"
-93.261772,44.975433,210,224,Band 66,-79.57,-15.255,-44.32,-3.0250000000000004,101.89166666666667,0.0,4.75,"['5', '5']"
-93.261772,44.975449,210,224,Band 66,-76.09333333333332,-12.9,-43.20000000000001,1.0666666666666667,102.91888888888889,0.0,9.166666666666666,"['5', '5', '5']"
-93.261772,44.97546,210,224,Band 66,-76.86666666666666,-13.193333333333333,-43.656666666666666,0.006666666666666821,103.59999999999998,0.0,9.11,"['5', '5', '5']"
-93.261772,44.975471,210,224,Band 66,-79.31666666666666,-12.533333333333333,-45.669999999999995,4.156666666666667,104.625,0.0,14.0,"['5', '5', '5']"
-93.261574,44.975109,240,224,Band 66,-80.17,-18.245,-40.69499999999999,4.4750000000000005,95.70500000000001,30.625000000000004,6.915,"['5', '5']"
-93.261574,44.975113,240,224,Band 66,-83.5,-19.75,-41.41,-0.7,93.78,16.28,7.33,['5']
-93.261566,44.975113,240,224,Band 66,-82.13499999999999,-21.25,-40.315,-2.4050000000000002,92.97999999999999,10.635,5.875,"['5', '5']"
-93.261566,44.975117,240,224,Band 66,-80.6,-21.115000000000002,-39.46,-1.705,92.97,1.11,6.375,"['5', '5']"
-93.261566,44.975338,180,224,Band 66,-77.935,-11.36,-41.230000000000004,5.345000000000001,89.0,22.22,13.54,"['18', '18']"
-93.261559,44.975117,240,224,Band 66,-75.92,-19.88,-35.81,-1.16,92.27000000000001,16.0,10.0,['5']
-93.261559,44.975121,240,224,Band 66,-76.43,-18.106666666666666,-37.79,0.04666666666666671,91.64666666666666,5.163333333333333,8.466666666666667,"['5', '5', '5']"
-93.261559,44.975124,240,224,Band 66,-73.26,-15.89,-37.21,2.73,91.86,48.84,7.5,['5']
-93.261559,44.975338,180,224,Band 66,-78.17,-14.49,-41.02,5.04,89.0,38.84,11.29,['18']
-93.261559,44.975342,180,224,Band 66,-76.96,-9.346,-41.58200000000001,8.032,88.501,25.188,12.088000000000001,"['18', '18', '18', '18', '18']"
-93.261559,44.975346,180,224,Band 66,-74.98666666666666,-10.736666666666666,-42.22666666666667,7.29,88.58999999999999,9.09,13.046666666666667,"['18', '18', '18']"
-93.261559,44.975349,180,224,Band 66,-76.1,-9.855999999999998,-42.352,6.328,88.46799999999999,27.096000000000004,14.65,"['18', '18', '18', '18', '18']"
-93.261559,44.975353,180,224,Band 66,-75.25666666666666,-9.153333333333334,-42.95666666666667,6.963333333333334,87.755,6.185,13.333333333333334,"['18', '18', '18']"
-93.261559,44.975357,180,224,Band 66,-76.74000000000001,-10.683333333333332,-42.18,6.116666666666667,89.22666666666667,7.036666666666666,13.276666666666666,"['18', '18', '18']"
-93.261559,44.975361,180,224,Band 66,-77.868,-10.154,-42.116,8.03,89.37,25.895999999999997,12.51,"['18', '18', '18', '18', '18']"
-93.261559,44.975365,180,224,Band 66,-77.08250000000001,-10.215,-42.695,6.665000000000001,89.55749999999999,26.485,13.6825,"['18', '18', '18', '18']"
-93.261559,44.975368,180,224,Band 66,-77.828,-10.556000000000001,-43.538,6.234,87.86800000000001,19.770000000000003,13.812000000000001,"['18', '18', '18', '18', '18']"
-93.261559,44.975372,180,224,Band 66,-75.25666666666667,-8.913333333333334,-43.89333333333334,7.156666666666666,87.58666666666666,33.699999999999996,13.223333333333334,"['18', '18', '18']"
-93.261559,44.975376,180,224,Band 66,-76.26666666666665,-9.233333333333333,-43.45333333333334,5.653333333333333,88.49333333333334,23.333333333333332,12.280000000000001,"['18', '18', '18']"
-93.261559,44.97538,210,224,Band 66,-76.08333333333333,-9.62,-43.89000000000001,6.593333333333334,88.69333333333333,19.346666666666668,12.39,"['18', '18', '18']"
-93.261559,44.975384,210,224,Band 66,-76.475,-9.015,-45.635,7.84,89.42,6.25,13.79,"['18', '18']"
-93.261559,44.975388,210,224,Band 66,-78.32,-11.09,-45.05,4.9350000000000005,90.17,7.522500000000001,12.440000000000001,"['18', '18']"
-93.261559,44.975391,210,224,Band 66,-80.44,-12.39,-45.16,0.7450000000000001,90.66,15.26,9.6,"['18', '18']"
-93.261559,44.975395,210,224,Band 66,-79.83500000000001,-11.23,-45.66,6.295,90.97,50.165,13.215,"['18', '18']"
-93.261559,44.975399,210,224,Band 66,-79.40999999999998,-10.83,-44.553333333333335,5.933333333333334,90.05000000000001,19.34,13.306666666666667,"['18', '18', '18']"
-93.261559,44.975403,210,224,Band 66,-75.58999999999999,-10.453333333333335,-43.833333333333336,9.263333333333334,89.17666666666668,10.573333333333332,12.71,"['18', '18', '18']"
-93.261551,44.975124,240,224,Band 66,-73.97,-14.69,-38.38,1.12,92.59,42.11,12.67,['5']
-93.261551,44.975128,240,224,Band 66,-73.93,-13.98,-38.24,4.53,93.32,29.17,10.5,['5']
-93.261551,44.975407,210,224,Band 66,-75.41666666666667,-10.623333333333335,-42.95333333333334,8.700000000000001,90.11,15.556666666666667,12.32,"['18', '18', '18']"
-93.261551,44.97541,210,224,Band 66,-75.96333333333332,-13.126666666666665,-41.50333333333334,7.896666666666667,90.14999999999999,17.51,13.943333333333333,"['18', '18', '18']"
-93.261551,44.975414,210,224,Band 66,-76.895,-13.325,-43.535,4.720000000000001,92.35,6.25,12.6,"['18', '18']"
-93.261551,44.975418,210,224,Band 66,-78.68,-13.925,-43.995000000000005,5.15,91.67,21.65,10.5,"['18', '18']"
-93.261551,44.975422,210,224,Band 66,-77.455,-8.49,-46.06,9.43,90.0,30.68,14.0,"['18', '18']"
-93.261551,44.975426,210,224,Band 66,-77.905,-9.48,-45.82,8.66,89.03,34.83,13.79,"['18', '18']"
