Lon,Lat,GPS Head,PCI12866_mean,PCI16266_mean,PCI20266_mean,PCI22466_mean,PCI28866_mean,PCI12813_mean,PCI16213_mean,PCI20213_mean,PCI22413_mean,PCI28813_mean,PCI12866_max,PCI16266_max,PCI20266_max,PCI22466_max,PCI28866_max,run_max,PCI12813_max,PCI16213_max,PCI20213_max,PCI22413_max,PCI28813_max,PCI12866_min,PCI16266_min,PCI20266_min,PCI22466_min,PCI28866_min,run_min,PCI12813_min,PCI16213_min,PCI20213_min,PCI22413_min,PCI28813_min,PCI12866_std,PCI16266_std,PCI20266_std,PCI22466_std,PCI28866_std,PCI12813_std,PCI16213_std,PCI20213_std,PCI22413_std,PCI28813_std,PCI12866_count,PCI16266_count,PCI20266_count,PCI22466_count,PCI28866_count,run_count,PCI12813_count,PCI16213_count,PCI20213_count,PCI22413_count,PCI28813_count,run
-93.262299,44.975349,0,-86.20857142857143,,,,-85.52,,,,,,-84.13,,,,-85.31,14,,,,,,-87.56,,,,-85.81,14,,,,,,1.47308552106827,,,,0.2594224354214562,,,,,,7,0,0,0,3,8,0,0,0,0,0,"['14', '14', '14', '14', '14', '14', '14', '14']"
-93.262291,44.975349,0,-84.70166666666667,,,-86.32615384615386,-82.91961538461538,,,,,,-82.56,,,-82.13,-80.77,14,,,,,,-86.56,,,-92.31,-88.81,14,,,,,,1.0118663594624384,,,3.4060914512618403,1.6882783674956712,,,,,,18,0,0,13,26,40,0,0,0,0,0,"['14', '14', '14', '14', '14', '14', '14', '14', '14', '14', '14', '14', '14', '14', '14', '14', '14', '14', '14', '14', '14', '14', '14', '14', '14', '14', '14', '14', '14', '14', '14', '14', '14', '14', '14', '14', '14', '14', '14', '14']"
-93.262291,44.975349,30,-85.44,,,,-84.56,,,,,,-85.44,,,,-84.56,14,,,,,,-85.44,,,,-84.56,14,,,,,,,,,,,,,,,,1,0,0,0,1,1,0,0,0,0,0,['14']
-93.262291,44.975349,60,-82.31,,,,-79.69,,,,,,-82.31,,,,-79.69,14,,,,,,-82.31,,,,-79.69,14,,,,,,,,,,,,,,,,1,0,0,0,1,1,0,0,0,0,0,['14']
-93.262291,44.975349,90,-80.13,,,,-80.63,,,,,,-80.13,,,,-80.63,14,,,,,,-80.13,,,,-80.63,14,,,,,,,,,,,,,,,,1,0,0,0,1,1,0,0,0,0,0,['14']
-93.262291,44.975349,120,-81.19,,,-83.06,-76.095,,,,,,-79.94,,,-83.06,-73.94,14,,,,,,-82.44,,,-83.06,-78.25,14,,,,,,1.7677669529663689,,,,3.047630226914021,,,,,,2,0,0,1,2,2,0,0,0,0,0,"['14', '14']"
-93.262291,44.975349,150,-83.18,,,-85.0175,-81.352,,,,,,-80.81,,,-81.94,-72.34,14,,,,,,-86.56,,,-87.31,-87.44,14,,,,,,2.1553537992635947,,,2.280093199849518,5.9749117148289335,,,,,,5,0,0,4,5,5,0,0,0,0,0,"['14', '14', '14', '14', '14']"
-93.262283,44.975349,120,-78.17750000000001,,,-83.69375000000001,-77.18499999999999,,,,,,-75.91,,,-81.56,-73.47,14,,,,,,-80.94,,,-86.06,-80.5,14,,,,,,1.964046478937955,,,1.456688392014077,2.5319444814495555,,,,,,8,0,0,8,8,8,0,0,0,0,0,"['14', '14', '14', '14', '14', '14', '14', '14']"
-93.262276,44.975349,120,-77.91,,,-81.83,-81.075,,,,,,-77.19,,,-80.94,-79.31,14,,,,,,-78.63,,,-82.72,-82.84,14,,,,,,1.0182337649086268,,,1.2586500705120554,2.4960869375885135,,,,,,2,0,0,2,2,2,0,0,0,0,0,"['14', '14']"
-93.262268,44.975349,120,-75.0,,,-81.64666666666666,-79.52,,,,,,-73.81,,,-79.5,-77.69,14,,,,,,-76.38,,,-84.25,-82.06,14,,,,,,1.2954921844611764,,,2.4077029163360963,2.269867837562356,,,,,,3,0,0,3,3,3,0,0,0,0,0,"['14', '14', '14']"
