Lon,Lat,GPS Head,PCI,Beam,ssRSRP_mean,ssRSRQ_mean,ssSINR_mean,ssbRSRP_mean,criRSRP_mean,Pathloss_mean,BLER_mean,CQI_mean,run
-93.26226,44.975349,120,1,13,-106.10666666666667,-10.83,8.146666666666667,-102.77666666666666,-95.39,115.73333333333333,5.913333333333333,10.733333333333334,"['14', '14', '14']"
-93.262253,44.975349,120,1,13,-102.375,-10.745000000000001,9.915,-100.16499999999999,-91.33,113.815,1.9699999999999998,10.785,"['14', '14']"
-93.262238,44.975349,120,1,13,-100.47,-10.805,8.825,-98.0,-90.33500000000001,111.6,3.445,10.3,"['14', '14']"
-93.26223,44.975349,120,1,13,-101.69333333333334,-10.833333333333334,9.696666666666665,-100.0,-91.0,115.06666666666668,4.096666666666667,10.71,"['14', '14', '14']"
-93.262222,44.975349,120,1,13,-101.318,-10.71,9.54,-99.466,-89.86800000000001,112.73999999999998,4.188,11.36,"['14', '14', '14', '14', '14']"
-93.262215,44.975349,120,1,13,-101.12,-10.59,9.39,-100.0,-92.5,114.0,0.16,12.4,['14']
-93.262207,44.975349,120,1,13,-102.255,-10.795,7.574999999999999,-101.75,-92.25,115.8,2.785,10.3,"['14', '14']"
-93.262199,44.975349,120,1,13,-103.75,-10.963333333333333,7.503333333333334,-102.05666666666667,-93.55333333333333,117.33333333333333,3.06,10.066666666666665,"['14', '14', '14']"
-93.262192,44.975349,120,1,13,-103.195,-10.965,8.1,-101.75,-91.0,116.735,1.065,10.9,"['14', '14']"
-93.262184,44.975349,120,1,13,-101.48,-10.82,10.37,-98.5,-89.5,114.0,3.14,10.33,['14']
-93.262177,44.975349,120,1,13,-101.36,-10.76,10.24,-99.66666666666667,-90.38666666666666,114.0,3.5933333333333333,10.333333333333334,"['14', '14', '14']"
-93.262169,44.975349,120,1,13,-100.92,-10.77,10.09,-99.0,-90.0,113.4,3.28,10.2,['14']
-93.262161,44.975349,120,1,13,-102.065,-10.81,6.08,-101.16499999999999,-95.83500000000001,115.2,3.36,11.025,"['14', '14']"
