Lon,Lat,GPS Head,PCI1_4_mean,PCI1_5_mean,PCI1_10_mean,PCI1_11_mean,PCI1_12_mean,PCI1_13_mean,PCI1_26_mean,PCI1_28_mean,PCI1_29_mean,PCI1_cell_mean,PCI1_20_mean,PCI1_21_mean,PCI1_27_mean,PCI1_4_max,PCI1_5_max,PCI1_10_max,PCI1_11_max,PCI1_12_max,PCI1_13_max,PCI1_26_max,PCI1_28_max,PCI1_29_max,PCI1_cell_max,PCI1_20_max,PCI1_21_max,PCI1_27_max,PCI1_4_min,PCI1_5_min,PCI1_10_min,PCI1_11_min,PCI1_12_min,PCI1_13_min,PCI1_26_min,PCI1_28_min,PCI1_29_min,PCI1_cell_min,PCI1_20_min,PCI1_21_min,PCI1_27_min,PCI1_4_std,PCI1_5_std,PCI1_10_std,PCI1_11_std,PCI1_12_std,PCI1_13_std,PCI1_26_std,PCI1_28_std,PCI1_29_std,PCI1_cell_std,PCI1_20_std,PCI1_21_std,PCI1_27_std,PCI1_4_count,PCI1_5_count,PCI1_10_count,PCI1_11_count,PCI1_12_count,PCI1_13_count,PCI1_26_count,PCI1_28_count,PCI1_29_count,PCI1_cell_count,PCI1_20_count,PCI1_21_count,PCI1_27_count,run
-93.262299,44.975349,0,,,-109.07,,,-108.59166666666665,,,,-108.42428571428572,,,,,,-109.07,,,-107.88,,,,-107.86,,,,,,-109.07,,,-109.7,,,,-109.33,,,,,,,,,0.6783927082941468,,,,0.5080963538167774,,,,0,0,1,0,0,6,0,0,0,7,0,0,0,"['14', '14', '14', '14', '14', '14', '14']"
-93.262291,44.975349,0,,,-118.765,,,-113.114,,,,-113.69208333333334,,,,,,-115.99,,,-107.7,,,,-107.7,,,,,,-120.53,,,-120.04,,,,-119.3,,,,,,1.965120861423035,,,3.4391069832305647,,,,3.3686831115136178,,,,0,0,4,0,0,20,0,0,0,24,0,0,0,"['14', '14', '14', '14', '14', '14', '14', '14', '14', '14', '14', '14', '14', '14', '14', '14', '14', '14', '14', '14', '14', '14', '14', '14']"
-93.262291,44.975349,30,,,,,,-115.22,,,,-114.85,,,,,,,,,-115.22,,,,-114.85,,,,,,,,,-115.22,,,,-114.85,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,1,0,0,0,['14']
-93.262291,44.975349,60,,,-115.43,,,-115.09,,,,-114.53,,,,,,-115.43,,,-115.09,,,,-114.5,,,,,,-115.43,,,-115.09,,,,-114.56,,,,,,,,,,,,,0.04242640687119446,,,,0,0,1,0,0,1,0,0,0,2,0,0,0,"['14', '14']"
-93.262291,44.975349,90,,,,,,-114.7,,,,-113.41,,,,,,,,,-114.7,,,,-113.41,,,,,,,,,-114.7,,,,-113.41,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,1,0,0,0,['14']
-93.262291,44.975349,120,,,-114.9,,,,,,,-112.27,,,,,,-114.9,,,,,,,-112.27,,,,,,-114.9,,,,,,,-112.27,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,1,0,0,0,['14']
-93.262291,44.975349,150,,,,,,-111.70333333333333,,,,-111.58333333333333,,,,,,,,,-109.32,,,,-109.32,,,,,,,,,-114.76,,,,-114.66,,,,,,,,,2.7818039710470908,,,,2.761346290006626,,,,0,0,0,0,0,3,0,0,0,3,0,0,0,"['14', '14', '14']"
-93.262283,44.975349,120,,,-115.12,,,-115.7325,,,,-114.87,,,,,,-115.12,,,-112.23,,,,-112.02,,,,,,-115.12,,,-117.09,,,,-116.81,,,,,,,,,2.3481109428644897,,,,2.34293619204622,,,,0,0,1,0,0,4,0,0,0,5,0,0,0,"['14', '14', '14', '14', '14']"
-93.262276,44.975349,120,,,,,,-111.04499999999999,,,,-110.62,,,,,,,,,-109.88,,,,-109.63,,,,,,,,,-112.21,,,,-111.61,,,,,,,,,1.6475588001646495,,,,1.400071426749372,,,,0,0,0,0,0,2,0,0,0,2,0,0,0,"['14', '14']"
-93.262268,44.975349,120,,,,,,-107.6,,,,-107.25,,,,,,,,,-107.6,,,,-107.25,,,,,,,,,-107.6,,,,-107.25,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,1,0,0,0,['14']
-93.26226,44.975349,120,-114.975,,-108.69666666666666,-114.15333333333332,,-106.10666666666667,-114.72,,,-105.92333333333333,,,,-113.56,,-106.99,-112.38,,-104.79,-114.72,,,-104.41,,,,-116.39,,-109.61,-116.2,,-106.98,-114.72,,,-106.84,,,,2.0011121907579232,,1.4792340360245,1.9246125151139701,,1.160359139806865,,,,1.3203156188326128,,,,2,0,3,3,0,3,1,0,0,3,0,0,0,"['14', '14', '14']"
-93.262253,44.975349,120,-111.3,,-103.855,-110.85,,-102.375,,,,-102.125,,,,-111.3,,-103.84,-110.56,,-102.16,,,,-102.02,,,,-111.3,,-103.87,-111.14,,-102.59,,,,-102.23,,,,0.0,,0.02121320343559723,0.41012193308819134,,0.30405591591022024,,,,0.14849242404918062,,,,2,0,2,2,0,2,0,0,0,2,0,0,0,"['14', '14']"
-93.262238,44.975349,120,-107.0,,-103.1,-106.995,,-100.47,,,,-100.43,,,,-106.16,,-103.07,-106.61,,-100.41,,,,-100.35,,,,-107.84,,-103.13,-107.38,,-100.53,,,,-100.51,,,,1.1879393923934047,,0.04242640687119446,0.5444722215136438,,0.08485281374238891,,,,0.11313708498985021,,,,2,0,2,2,0,2,0,0,0,2,0,0,0,"['14', '14']"
