Lon,Lat,GPS Head,PCI377_4_mean,PCI377_5_mean,PCI377_10_mean,PCI377_11_mean,PCI377_12_mean,PCI377_13_mean,PCI377_20_mean,PCI377_21_mean,PCI377_26_mean,PCI377_28_mean,PCI377_cell_mean,PCI377_29_mean,PCI377_27_mean,PCI377_4_max,PCI377_5_max,PCI377_10_max,PCI377_11_max,PCI377_12_max,PCI377_13_max,PCI377_20_max,PCI377_21_max,PCI377_26_max,PCI377_28_max,PCI377_cell_max,PCI377_29_max,PCI377_27_max,PCI377_4_min,PCI377_5_min,PCI377_10_min,PCI377_11_min,PCI377_12_min,PCI377_13_min,PCI377_20_min,PCI377_21_min,PCI377_26_min,PCI377_28_min,PCI377_cell_min,PCI377_29_min,PCI377_27_min,PCI377_4_std,PCI377_5_std,PCI377_10_std,PCI377_11_std,PCI377_12_std,PCI377_13_std,PCI377_20_std,PCI377_21_std,PCI377_26_std,PCI377_28_std,PCI377_cell_std,PCI377_29_std,PCI377_27_std,PCI377_4_count,PCI377_5_count,PCI377_10_count,PCI377_11_count,PCI377_12_count,PCI377_13_count,PCI377_20_count,PCI377_21_count,PCI377_26_count,PCI377_28_count,PCI377_cell_count,PCI377_29_count,PCI377_27_count,run
-93.262283,44.975349,120,,,,,,,,-127.98,,,-127.98,,,,,,,,,,-127.98,,,-127.98,,,,,,,,,,-127.98,,,-127.98,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,1,0,0,['14']
-93.262276,44.975349,120,,,,,,,,-127.945,,,-127.945,,,,,,,,,,-127.75,,,-127.75,,,,,,,,,,-128.14,,,-128.14,,,,,,,,,,0.2757716446627439,,,0.2757716446627439,,,0,0,0,0,0,0,0,2,0,0,2,0,0,"['14', '14']"
-93.262268,44.975349,120,,,,,,,,-128.37,,,-128.37,,,,,,,,,,-128.37,,,-128.37,,,,,,,,,,-128.37,,,-128.37,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,1,0,0,['14']
-93.26226,44.975349,120,,,,,,,,-132.67,,,-132.67,,,,,,,,,,-127.97,,,-127.97,,,,,,,,,,-141.73,,,-141.73,,,,,,,,,,7.848031600344129,,,7.848031600344129,,,0,0,0,0,0,0,0,3,0,0,3,0,0,"['14', '14', '14']"
-93.262253,44.975349,120,,,,,,,-125.82,-134.02,,,-131.69,,,,,,,,,-125.82,-134.02,,,-129.36,,,,,,,,,-125.82,-134.02,,,-134.02,,,,,,,,,,,,,3.295117600329299,,,0,0,0,0,0,0,1,1,0,0,2,0,0,"['14', '14']"
-93.262238,44.975349,120,,,,,,,-129.21,,,,-130.89999999999998,,,,,,,,,-127.36,,,,-129.7,,,,,,,,,-131.06,,,,-132.1,,,,,,,,,2.616295090390223,,,,1.6970562748477283,,,0,0,0,0,0,0,2,0,0,0,2,0,0,"['14', '14']"
-93.26223,44.975349,120,,,,,,,-145.8475,,,,-145.98,,,,,,,,,-132.98,,,,-133.29,,,,,,,,,-154.34,,,,-154.35,,,,,,,,,9.56423677038582,,,,9.430058324315931,,,0,0,0,0,0,0,4,0,0,0,4,0,0,"['14', '14', '14', '14']"
-93.262222,44.975349,120,,,,,-127.58,,-155.41,-138.77499999999998,,,-137.19750000000002,,,,,,,-127.58,,-155.41,-137.85,,,-127.58,,,,,,,-127.58,,-155.41,-139.7,,,-155.41,,,,,,,,,,1.308147545195119,,,12.55701231716101,,,0,0,0,0,1,0,1,2,0,0,4,0,0,"['14', '14', '14', '14']"
-93.262215,44.975349,120,,,,,-141.36,,,,,,-137.55,,,,,,,-141.36,,,,,,-137.55,,,,,,,-141.36,,,,,,-137.55,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,1,0,0,['14']
-93.262207,44.975349,120,,,,,,,,-137.75,,,-137.785,,,,,,,,,,-137.41,,,-135.62,,,,,,,,,,-138.09,,,-139.95,,,,,,,,,,0.48083261120685716,,,3.0617723625377393,,,0,0,0,0,0,0,0,2,0,0,2,0,0,"['14', '14']"
-93.262199,44.975349,120,,,,,-135.69,,,-143.77,,,-135.0,,,,,,,-135.69,,,-143.77,,,-133.38,,,,,,,-135.69,,,-143.77,,,-136.62,,,,,,,,,,,,,2.2910259710444203,,,0,0,0,0,1,0,0,1,0,0,2,0,0,"['14', '14']"
-93.262192,44.975349,120,,,,,,,-123.99,,,,-123.99,,,,,,,,,-123.99,,,,-123.99,,,,,,,,,-123.99,,,,-123.99,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,1,0,0,['14']
-93.262184,44.975349,120,,,,,,,-124.41,,,,-124.41,,,,,,,,,-124.41,,,,-124.41,,,,,,,,,-124.41,,,,-124.41,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,1,0,0,['14']
-93.262177,44.975349,120,,,,,,,-131.25,,,,-131.25,,,,,,,,,-127.26,,,,-127.26,,,,,,,,,-137.2,,,,-137.2,,,,,,,,,5.251866334932743,,,,5.251866334932743,,,0,0,0,0,0,0,3,0,0,0,3,0,0,"['14', '14', '14']"
-93.262169,44.975349,120,,,,,,,-144.88,,,,-144.88,,,,,,,,,-144.88,,,,-144.88,,,,,,,,,-144.88,,,,-144.88,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,1,0,0,['14']
-93.262161,44.975349,120,,,,,,,-149.5,,,,-149.5,,,,,,,,,-147.74,,,,-147.74,,,,,,,,,-151.26,,,,-151.26,,,,,,,,,2.4890158697766345,,,,2.4890158697766345,,,0,0,0,0,0,0,2,0,0,0,2,0,0,"['14', '14']"
-93.262146,44.975353,90,,,,,,,-125.75,,,,-125.75,,,,,,,,,-125.75,,,,-125.75,,,,,,,,,-125.75,,,,-125.75,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,1,0,0,['14']
-93.262138,44.975357,90,,,,,,,-126.97,,,,-126.97,,,,,,,,,-126.97,,,,-126.97,,,,,,,,,-126.97,,,,-126.97,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,1,0,0,['14']
-93.262131,44.975361,90,,,,,,,-138.0,,,,-138.0,,,,,,,,,-128.66,,,,-128.66,,,,,,,,,-147.01,,,,-147.01,,,,,,,,,9.407312758345666,,,,9.407312758345666,,,0,0,0,0,0,0,4,0,0,0,4,0,0,"['14', '14', '14', '14']"
-93.262123,44.975361,90,,,,,,,-146.82,,,,-146.82,,,,,,,,,-146.82,,,,-146.82,,,,,,,,,-146.82,,,,-146.82,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,1,0,0,['14']
-93.262115,44.975361,120,,,,,,,-149.13,,,,-149.13,,,,,,,,,-149.13,,,,-149.13,,,,,,,,,-149.13,,,,-149.13,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,1,0,0,['14']
-93.262077,44.975349,120,,,,,,,-123.54,,,,-123.54,,,,,,,,,-123.54,,,,-123.54,,,,,,,,,-123.54,,,,-123.54,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,1,0,0,['14']
-93.26207,44.975349,120,,,,-122.8,,,,,,,-118.99333333333334,,,,,,-119.01,,,,,,,-117.25,,,,,,-125.19,,,,,,,-121.43,,,,,,3.319352346467598,,,,,,,2.1745420973927767,,,0,0,0,3,0,0,0,0,0,0,3,0,0,"['14', '14', '14']"
-93.262062,44.975349,120,,,,-116.51,,,-117.02,,,,-115.83,,,,,,-116.51,,,-117.02,,,,-115.63,,,,,,-116.51,,,-117.02,,,,-116.03,,,,,,,,,,,,,0.28284271247462306,,,0,0,0,1,0,0,1,0,0,0,2,0,0,"['14', '14']"
-93.262054,44.975349,120,,,,,,,-116.39,,,,-115.72,,,,,,,,,-116.39,,,,-115.72,,,,,,,,,-116.39,,,,-115.72,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,1,0,0,['14']
-93.262047,44.975349,90,,,,-119.21000000000001,,,-115.53999999999999,,,,-116.61499999999998,,,,,,-118.73,,,-115.53,,,,-115.28,,,,,,-119.69,,,-115.55,,,,-118.91,,,,,,0.6788225099390762,,,0.014142135623723113,,,,1.7228368079033705,,,0,0,0,2,0,0,2,0,0,0,4,0,0,"['14', '14', '14', '14']"
-93.262047,44.975399,270,,,,,-116.55,,,,,,-116.41,,,,,,,-115.32,,,,,,-115.73,,,,,,,-116.96,,,,,,-116.76,,,,,,,0.8200000000000015,,,,,,0.4710980082035308,,,0,0,0,0,4,0,0,0,0,0,4,0,0,"['5', '5', '5', '5']"
-93.262047,44.975403,270,,,,,-115.32,,,,,,-115.82,,,,,,,-115.32,,,,,,-115.82,,,,,,,-115.32,,,,,,-115.82,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,1,0,0,['5']
-93.262047,44.975407,270,,,,,-115.32,,,,,,-115.47,,,,,,,-115.32,,,,,,-115.47,,,,,,,-115.32,,,,,,-115.47,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,1,0,0,['5']
-93.262047,44.97541,270,,,,,-115.23,,,,,,-115.32,,,,,,,-115.23,,,,,,-115.32,,,,,,,-115.23,,,,,,-115.32,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,1,0,0,['5']
-93.262047,44.975414,300,,,,,-115.23,,,,,,-115.26,,,,,,,-115.23,,,,,,-115.26,,,,,,,-115.23,,,,,,-115.26,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,1,0,0,['5']
-93.262047,44.975418,300,,,,,-115.23,,,,,,-115.24,,,,,,,-115.23,,,,,,-115.24,,,,,,,-115.23,,,,,,-115.24,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,1,0,0,['5']
-93.262047,44.975422,300,,,,,-115.23,-112.275,,,,,-112.89999999999999,,,,,,,-115.23,-111.12,,,,,-111.12,,,,,,,-115.23,-113.43,,,,,-115.24,,,,,,,,1.6334166645409265,,,,,2.11631755651177,,,0,0,0,0,1,2,0,0,0,0,3,0,0,"['5', '5', '5']"
-93.262047,44.975426,330,,,,,,-110.61,,,,,-110.605,,,,,,,,-110.53,,,,,-110.53,,,,,,,,-110.69,,,,,-110.68,,,,,,,,0.11313708498984519,,,,,0.10606601717798615,,,0,0,0,0,0,2,0,0,0,0,2,0,0,"['5', '5']"
