Lon,Lat,GPS Head,PCI548_4_mean,PCI548_5_mean,PCI548_10_mean,PCI548_11_mean,PCI548_12_mean,PCI548_13_mean,PCI548_20_mean,PCI548_21_mean,PCI548_26_mean,PCI548_27_mean,PCI548_cell_mean,PCI548_4_max,PCI548_5_max,PCI548_10_max,PCI548_11_max,PCI548_12_max,PCI548_13_max,PCI548_20_max,PCI548_21_max,PCI548_26_max,PCI548_27_max,PCI548_cell_max,PCI548_4_min,PCI548_5_min,PCI548_10_min,PCI548_11_min,PCI548_12_min,PCI548_13_min,PCI548_20_min,PCI548_21_min,PCI548_26_min,PCI548_27_min,PCI548_cell_min,PCI548_4_std,PCI548_5_std,PCI548_10_std,PCI548_11_std,PCI548_12_std,PCI548_13_std,PCI548_20_std,PCI548_21_std,PCI548_26_std,PCI548_27_std,PCI548_cell_std,PCI548_4_count,PCI548_5_count,PCI548_10_count,PCI548_11_count,PCI548_12_count,PCI548_13_count,PCI548_20_count,PCI548_21_count,PCI548_26_count,PCI548_27_count,PCI548_cell_count,run
-93.262253,44.975349,120,,,,,-125.58,,,,-146.19,,-125.975,,,,,-125.58,,,,-146.19,,-125.58,,,,,-125.58,,,,-146.19,,-126.37,,,,,,,,,,,0.558614357137382,0,0,0,0,1,0,0,0,1,0,2,"['14', '14']"
-93.262238,44.975349,120,,,,,,,,,-133.95,,-124.27000000000001,,,,,,,,,-126.38,,-123.93,,,,,,,,,-141.52,,-124.61,,,,,,,,,10.705596667164329,,0.4808326112068521,0,0,0,0,0,0,0,0,2,0,2,"['14', '14']"
-93.26223,44.975349,120,,-129.49,,,-126.9,,-130.55,,,,-126.3975,,-129.49,,,-126.5,,-130.55,,,,-124.96,,-129.49,,,-127.3,,-130.55,,,,-127.15,,,,,0.565685424949231,,,,,,1.0040044820617127,0,1,0,0,2,0,1,0,0,0,4,"['14', '14', '14', '14']"
-93.262222,44.975349,120,,,,-134.94,,,-126.94,,,,-124.13000000000002,,,,-124.57,,,-126.94,,,,-122.12,,,,-144.7,,,-126.94,,,,-125.53,,,,9.266099503027135,,,,,,,1.5261225376751384,0,0,0,4,0,0,1,0,0,0,5,"['14', '14', '14', '14', '14']"
-93.262215,44.975349,120,,,,-122.63,,,,,,,-121.79,,,,-122.63,,,,,,,-121.79,,,,-122.63,,,,,,,-121.79,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,1,['14']
-93.262207,44.975349,120,,,,-118.37,,,-127.06,,,,-120.195,,,,-118.37,,,-127.06,,,,-119.09,,,,-118.37,,,-127.06,,,,-121.3,,,,,,,,,,,1.5627059864222606,0,0,0,1,0,0,1,0,0,0,2,"['14', '14']"
-93.262199,44.975349,120,,,,-119.32,,,-120.3,,,,-118.88,,,,-119.08,,,-120.3,,,,-118.51,,,,-119.56,,,-120.3,,,,-119.22,,,,0.3394112549695406,,,,,,,0.35594943461114636,0,0,0,2,0,0,1,0,0,0,3,"['14', '14', '14']"
-93.262192,44.975349,120,,,,-119.595,,,,,,,-119.305,,,,-119.52,,,,,,,-119.3,,,,-119.67,,,,,,,-119.31,,,,0.10606601717798615,,,,,,,0.0070710678118640685,0,0,0,2,0,0,0,0,0,0,2,"['14', '14']"
-93.262184,44.975349,120,,,,-120.6,,,,,,,-119.98,,,,-120.6,,,,,,,-119.98,,,,-120.6,,,,,,,-119.98,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,1,['14']
-93.262177,44.975349,120,,,,-120.96333333333332,,,,,,,-120.96333333333332,,,,-120.82,,,,,,,-120.84,,,,-121.07,,,,,,,-121.07,,,,0.12897028081435646,,,,,,,0.11590225767142712,0,0,0,3,0,0,0,0,0,0,3,"['14', '14', '14']"
-93.262169,44.975349,120,,,,-121.09,,,,,,,-121.08,,,,-121.09,,,,,,,-121.08,,,,-121.09,,,,,,,-121.08,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,1,['14']
-93.262161,44.975349,120,,,,,,,-125.14,,,,-122.99,,,,,,,-124.45,,,,-121.07,,,,,,,-125.83,,,,-124.91,,,,,,,0.9758073580374323,,,,2.715290039756345,0,0,0,0,0,0,2,0,0,0,2,"['14', '14']"
-93.262154,44.975349,120,,,,,-127.3,,-133.8,,,,-133.70333333333335,,,,,-127.3,,-127.12,,,,-126.59,,,,,-127.3,,-140.48,,,,-140.36,,,,,,,9.446946596652255,,,,6.896349275764192,0,0,0,0,1,0,2,0,0,0,3,"['14', '14', '14']"
-93.262146,44.975353,90,,,,,-129.09,,,,,,-130.28,,,,,-129.09,,,,,,-130.28,,,,,-129.09,,,,,,-130.28,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,1,['14']
-93.262146,44.975353,120,,,,,-128.27,,,,,,-131.13,,,,,-128.27,,,,,,-131.13,,,,,-128.27,,,,,,-131.13,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,1,['14']
-93.262138,44.975357,90,,,,,-129.95,,,,,,-130.45,,,,,-129.95,,,,,,-130.45,,,,,-129.95,,,,,,-130.45,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,1,['14']
-93.262131,44.975361,90,,,,,-129.69,,-133.79999999999998,,,,-127.885,,,,,-129.69,,-129.08,,,,-127.58,,,,,-129.69,,-141.4,,,,-128.06,,,,,,,6.645780616300846,,,,0.22516660498395785,0,0,0,0,1,0,3,0,0,0,4,"['14', '14', '14', '14']"
-93.262123,44.975361,90,,,,,,,-136.19,,,,-135.47,,,,,,,-136.19,,,,-135.47,,,,,,,-136.19,,,,-135.47,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,1,['14']
-93.262115,44.975361,120,,,,,,,-130.665,,,,-130.555,,,,,,,-130.41,,,,-130.23,,,,,,,-130.92,,,,-130.88,,,,,,,0.3606244584051328,,,,0.4596194077712499,0,0,0,0,0,0,2,0,0,0,2,"['14', '14']"
-93.262108,44.975361,120,,,,,,,-130.34,,,,-130.31,,,,,,,-130.34,,,,-130.31,,,,,,,-130.34,,,,-130.31,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,1,['14']
-93.2621,44.975353,120,,,,,,,-125.05,,,,-125.05,,,,,,,-125.05,,,,-125.05,,,,,,,-125.05,,,,-125.05,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,1,['14']
-93.262093,44.975349,120,,,,,,,-127.38499999999999,,,-148.21,-128.24,,,,,,,-127.38,,,-148.21,-127.31,,,,,,,-127.39,,,-148.21,-130.02,,,,,,,0.0070710678118640685,,,,1.5420440979427317,0,0,0,0,0,0,2,0,0,1,3,"['14', '14', '14']"
-93.262085,44.975349,120,,,,,,,-126.36,,,,-126.345,,,,,,,-125.33,,,,-125.32,,,,,,,-127.39,,,,-127.37,,,,,,,1.4566399692442895,,,,1.4495689014324304,0,0,0,0,0,0,2,0,0,0,2,"['14', '14']"
-93.262077,44.975296,300,,,,-112.82,,,,,,,-112.81,,,,-112.82,,,,,,,-112.81,,,,-112.82,,,,,,,-112.81,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,1,['7']
-93.262077,44.9753,300,,,,-113.20333333333333,,,,,,,-113.72666666666667,,,,-112.82,,,,,,,-113.6,,,,-113.97,,,,,,,-113.98,,,,0.6639528095680709,,,,,,,0.2193931022920654,0,0,0,3,0,0,0,0,0,0,3,"['7', '7', '7']"
-93.262077,44.9753,330,,,,-114.39,,,-118.41,,,,-116.0,,,,-114.39,,,-118.41,,,,-114.39,,,,-114.39,,,-118.41,,,,-117.61,,,,,,,,,,,2.276883835420682,0,0,0,1,0,0,1,0,0,0,2,"['7', '7']"
